id;source;business_id;business_date;business_amt;business_type;business_type_detail;payer;receiver;remark;is_active
1;zowie until;dc65acc4-bbcb-42c4-9681-78aca2a6caad;2025-02-01T20:18:45;21269.09;comment;flat;neon whoever;per;behind survey difficult;false
2;nearly though;ee7862e9-0f1f-400c-a5be-91a656228d38;2025-02-01T08:38:02;23373;patent although separately;aw chain only;regarding;sauce whoever;main regarding;false
3;or;41aff8d2-62a8-4c2c-bbe9-d665562cb0de;2025-02-01T14:26:39;25592.68;new serene recover;whoever lavish;between extremely;until finally hence;now the;true
4;nicely;19bea18e-135e-4176-942b-295a9670c9ef;2025-02-01T15:12:38;27288.34;anti;telecommute outside respect;hm geez tick;hie skim;boo excitedly;true
5;outside passivise bamboo;27417a0a-8a22-42fd-9ab5-25c635a3700c;2025-02-01T17:39:05;27363.68;boastfully for in-joke;healthy;likewise anti;cheerfully bite-sized for;blah unnecessarily;true
6;astride actually;23dca8f0-a983-4e19-b9aa-1f83e7eac31c;2025-02-01T23:54:23;25036.72;as;reassuringly for teethe;never;whirlwind noteworthy recklessly;against;false
7;off skipper blaring;09f0e11d-28d8-46f1-8ba7-b74538f8f055;2025-02-01T13:40:14;597.74;filter that;gratefully accidentally nor;yet wherever;nearly jealously but;vague sensationalize;true
8;unto forenenst;c28f023d-8a7b-453c-b12d-bf14d9f2aca5;2025-02-01T14:03:04;18622.53;but blueberry hygienic;den regularly;gosh;gummy wherever um;per;true
9;gently radio zinc;07d7b976-1562-43da-af23-7056176923cc;2025-02-01T09:10:46;10889.02;inveigle pinpoint;inside past or;doll consequently with;before lest;questioningly carry;true
10;ruins;95b22a96-6606-4b12-aa99-8061e1d0cafc;2025-02-01T10:42:35;29377.84;vaguely which;ignorant misfit flawless;weeder;bonfire worrisome;ick;false
