id;income_date;income_amount;income_type;income_type_detail;income_payer;income_receiver;income_remark;is_active;modifier;modify_datetime;creator;create_datetime
1;2025-02-01T08:23:01;10189.04;while aw ah;scour untimely app;ick;super pace;unwritten past dense;false;geography flee;2025-02-01T09:27:07;whereas romaine;2025-02-02T03:30:04
2;2025-02-01T20:10:59;22438;inwardly soon;madly enthusiastically;after;indeed piety zealous;chemical survey;true;even;2025-02-01T08:05:09;ham racing;2025-02-01T20:19:23
3;2025-02-01T20:36:48;25787.29;bust;verifiable;type boohoo tomato;openly;will absent inasmuch;true;zowie;2025-02-01T12:12:06;gratefully or which;2025-02-01T11:52:52
4;2025-02-01T17:11:40;17954.82;zowie selfish fade;upon dimly;although;quizzically;apud;true;grove whether successfully;2025-02-01T17:41:24;nearly up;2025-02-01T17:50:53
5;2025-02-01T21:40:28;469.42;like duh inconsequential;zowie oldie;colorize;virtuous lovely;till sans;true;underneath if;2025-02-01T22:37:04;as ha;2025-02-02T06:12:36
6;2025-02-01T17:11:28;20459.21;reign gadzooks turf;assign for demonstrate;fatally;anenst lazily product;outside;false;limply;2025-02-02T06:17:48;verbally self-reliant intention;2025-02-01T20:51:40
7;2025-02-02T04:31:59;19332.38;times honorable;veneer;eek;zowie retry;second theft pfft;false;joyous whose pro;2025-02-01T13:54:56;rotating where meanwhile;2025-02-02T00:53:37
8;2025-02-02T06:19:58;24552.44;since foolishly if;smoothly about;to till;through yet yahoo;loftily reliable;true;pish cabin ranger;2025-02-01T07:20:38;aw grotesque indigence;2025-02-02T06:29:13
9;2025-02-01T16:05:22;7841.94;debut toward;absence circa ordinary;inspector thirsty;vacantly;than or;true;frantically opposite;2025-02-01T08:01:44;negligee;2025-02-01T14:10:31
10;2025-02-01T09:27:07;3750.75;demobilize regularly never;reorder so;violently heavily;gah expostulate daunt;even;true;refrigerate style alongside;2025-02-01T09:37:21;uh-huh;2025-02-01T07:46:37
